feature,importance
numeric__step,732
numeric__oldbalanceDest,712
numeric__newbalanceDest,662
numeric__orig_delta_error,655
numeric__dest_delta_error,574
numeric__dest_balance_delta,493
numeric__amount,356
numeric__newbalanceOrig,251
numeric__amount_to_oldbalance_ratio,246
numeric__orig_balance_delta,219
numeric__log_amount,205
numeric__oldbalanceOrg,92
categorical__type_CASH_OUT,62
categorical__type_TRANSFER,49
numeric__emptied_origin,46
numeric__dest_is_customer,24
numeric__dest_is_merchant,16
categorical__type_CASH_IN,6
categorical__type_DEBIT,0
categorical__type_PAYMENT,0
