feature,mean_abs_shap
numeric__orig_delta_error,0.2209211933860458
numeric__emptied_origin,0.11525930298734068
numeric__newbalanceOrig,0.04719058249421442
numeric__orig_balance_delta,0.039718437082401234
numeric__amount_to_oldbalance_ratio,0.031739421000155366
numeric__dest_is_customer,0.018450575072249505
numeric__step,0.01681312924740737
numeric__dest_is_merchant,0.01677347837900285
numeric__oldbalanceOrg,0.014253402329302542
categorical__type_PAYMENT,0.012662348072557174
numeric__oldbalanceDest,0.011330828791295513
numeric__log_amount,0.007621243933686794
numeric__amount,0.007253778330070433
numeric__dest_delta_error,0.007024339686378134
categorical__type_TRANSFER,0.006280164182048461
numeric__newbalanceDest,0.006149283564591546
numeric__dest_balance_delta,0.006107522412946462
categorical__type_CASH_OUT,0.005172565645526554
categorical__type_CASH_IN,0.0016605071829787793
categorical__type_DEBIT,0.00017345707042148718
